39.9593336,-75.17192453,39.9593336,-75.17192453,3HR,0.75,2,4/21/2015 9:54,3
39.9591664,-75.17034193,39.9591664,-75.17034193,3HR,1,2,4/22/2015 9:54,3
39.9914909,-75.16684674,39.9914909,-75.16684674,12HR,0.5,2,4/23/2015 9:54,12
39.961797,-75.175188,39.961797,-75.175188,12HR,0.5,2,4/24/2015 9:54,12
39.9588691,-75.17251272,39.9588691,-75.17251272,3HR,1,2,4/25/2015 9:54,3
39.9606212,-75.1774424,39.9606212,-75.1774424,4HR,1,2,4/26/2015 9:54,4
39.9533718,-75.1687937,39.9533718,-75.1687937,24HR,0.75,2,4/27/2015 9:54,24
39.9507274,-75.16895492,39.9507274,-75.16895492,12HR,0.75,2,4/28/2015 9:54,12
39.950245,-75.17317519,39.950245,-75.17317519,3HR,1,2,4/29/2015 9:54,3
39.9420064,-75.1450315,39.9420064,-75.1450315,24HR,0.75,2,4/30/2015 9:54,24
39.943537,-75.16342713,39.943537,-75.16342713,24HR,0.5,2,5/1/2015 9:54,24
39.9508345,-75.16204331,39.9508345,-75.16204331,24HR,0.5,2,5/2/2015 9:54,24
39.9502709,-75.15711391,39.9502709,-75.15711391,24HR,0.5,2,5/3/2015 9:54,24
39.9498149,-75.15471718,39.9498149,-75.15471718,24HR,0.5,2,5/4/2015 9:54,24
39.9507058,-75.15040842,39.9507058,-75.15040842,24HR,0.75,2,5/5/2015 9:54,24
39.9483989,-75.1441149,39.9483989,-75.1441149,24HR,0.75,2,5/6/2015 9:54,24
39.9483618,-75.1440986,39.9483618,-75.1440986,24HR,0.75,2,5/7/2015 9:54,24
39.9503548,-75.16023291,39.9503548,-75.16023291,24HR,0.5,2,5/8/2015 9:54,24
39.9456393,-75.15575338,39.9456393,-75.15575338,12HR,0.5,2,5/9/2015 9:54,12
39.9570715,-75.1401469,39.9570715,-75.1401469,24HR,0.5,2,5/10/2015 9:54,24
39.9449232,-75.1598531,39.9449232,-75.1598531,2HR,1,2,5/11/2015 9:54,2
39.9469713,-75.1646991,39.9469713,-75.1646991,2HR,2,2,5/12/2015 9:54,2
39.9456393,-75.15575338,39.9456393,-75.15575338,2HR,1,2,5/13/2015 9:54,2
39.9457994,-75.1563873,39.9457994,-75.1563873,2HR,1,2,5/14/2015 9:54,2
39.9421345,-75.14578952,39.9421345,-75.14578952,24HR,2,2,5/15/2015 9:54,24
39.9429465,-75.1522757,39.9429465,-75.1522757,24HR,2,2,5/16/2015 9:54,24
39.9437647,-75.1584315,39.9437647,-75.1584315,24HR,2,2,5/17/2015 9:54,24
39.9444706,-75.16484125,39.9444706,-75.16484125,24HR,2,2,5/18/2015 9:54,24
39.9428768,-75.14366234,39.9428768,-75.14366234,3HR,1,2,5/19/2015 9:54,3
39.9412131,-75.1457778,39.9412131,-75.1457778,2HR,1.5,2,5/20/2015 9:54,2
39.9425885,-75.1558566,39.9425885,-75.1558566,2HR,2,2,5/21/2015 9:54,2
